Title,SJR,H index,IPP,SNIP,Total Docs. (2023),Total Docs. (3years),Total Refs.,Est. value (USD) (2023),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher,Labels
Nature Reviews Physics,7.833,87,30.0409356725146,8.17125779375178,135,375,8768,2549515.0,5773,0.0064091460245972,0.3786666666666666,188,16.61,64.95,7,Springer International Publishing,1.0
The Lancet Psychiatry,7.827,160,17.96850822146003,4.739752555259369,218,882,4186,6881442.0,9381,0.0078882848310414,0.4399092970521542,316,7.89,19.2,12,Elsevier Ltd,1.0
Strategic Management Journal,7.82,351,10.4574468085106,3.6156996819351,111,284,9272,2428499.0,2876,0.0591098748261474,0.0492957746478873,283,9.36,83.53,46,John Wiley and Sons Ltd,1.0
Progress in Materials Science,7.796,255,40.3781094527363,8.58119402664258,131,203,50591,1917217.0,8272,0.010880077369439,0.0246305418719211,201,36.34,386.19,56,Elsevier Ltd,1.0
Review of Finance,7.769,83,7.34108527131783,3.96952204701342,61,129,3138,995972.0,847,0.0212514757969303,0.1162790697674418,128,6.18,51.44,24,Oxford University Press,1.0
ACM Transactions on Graphics,7.766,264,6.67060212514758,2.43138108278129,268,848,17376,6064225.0,8723,0.1216324658947609,0.0389150943396226,848,9.8,64.84,43,Association for Computing Machinery (ACM),1.0
Cell Host and Microbe,7.76,255,17.7472035794183,2.78461039427251,206,616,11486,5014357.0,8650,0.0173410404624277,0.224025974025974,459,12.62,55.76,19,Cell Press,1.0
Neuron,7.728,548,12.7552602436323,2.98810456240999,357,1181,23601,9830755.0,11959,0.0301864704406722,0.2193056731583404,940,9.18,66.11,38,Cell Press,1.0
Nature Climate Change,7.724,296,24.1732101616628,5.88702041547941,315,823,10035,6746231.0,12008,0.0157395069953364,0.2855407047387606,446,13.61,31.86,15,Nature Research,1.0
Annual Review of Organizational Psychology and Organizational Behavior,7.706,86,17.6326530612245,6.89666454324297,21,52,2494,451890.0,831,0.0084235860409145,0.0769230769230769,49,14.35,118.76,12,Annual Reviews Inc.,1.0
Annual Review of Plant Biology,7.555,307,21.75,5.66384269269464,29,109,5021,843023.0,2460,0.0065040650406504,0.0458715596330275,104,18.69,173.14,29,Annual Reviews Inc.,1.0
Review of Economics and Statistics,7.553,211,5.90454545454545,3.68049582177879,107,220,4859,1930932.0,1306,0.0145482388973966,0.1181818181818181,220,5.08,45.41,47,MIT Press Journals,1.0
Journal of Management,7.539,296,16.5915492957746,5.18328224510304,99,219,12658,2054196.0,3598,0.0300166759310728,0.0502283105022831,205,15.47,127.86,51,SAGE Publications Inc.,1.0
Cancer Discovery,7.533,250,21.6833631484794,3.80261655007126,347,1297,10066,9117527.0,13342,0.0108679358417028,0.505011565150347,986,10.26,29.01,15,American Association for Cancer Research Inc.,1.0
Journal of Hematology and Oncology,7.522,171,26.7843137254902,4.48912670076013,114,531,11430,3498364.0,12084,0.0119165839126117,0.0470809792843691,413,20.87,100.26,18,BioMed Central Ltd,1.0
Journal of Economic Perspectives,7.496,239,9.66942148760331,5.59737038743911,42,124,2644,1041183.0,1279,0.0054730258014073,0.0967741935483871,124,7.29,62.95,33,American Economic Association,1.0
Living Reviews in Solar Physics,7.472,74,23.1818181818182,9.02848918347124,4,11,1893,95046.0,268,0.0261194029850746,0.0,11,19.33,473.25,21,Springer International Publishing AG,1.0
