Title,SJR,H index,IPP,SNIP,Total Docs. (2003),Total Docs. (3years),Total Refs.,Est. value (USD) (2003),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Ergodic Theory and Dynamical Systems,1.324,62,0.723021582733813,1.12045773633221,93,278,1919,1634145.0,217,0.1336405529953917,0.5611510791366906,278,0.77,20.63,45,Cambridge University Press
Journal of Food Protection,1.324,157,2.32967032967033,1.5983528022754,352,920,10142,5172885.0,2539,0.2004726270185112,0.1989130434782608,913,2.56,28.81,48,Elsevier B.V.
Medical Decision Making,1.324,124,1.98101265822785,1.32102206409828,53,199,1354,1125282.0,362,0.0856353591160221,0.457286432160804,179,1.56,25.55,45,SAGE Publications Inc.
Urology,1.324,197,2.68765743073048,1.37108625421139,693,1983,12622,11303385.0,5514,0.0899528472977874,0.3454362077660111,1753,2.56,18.21,53,Elsevier Inc.
Visual Neuroscience,1.324,90,1.99598393574297,0.740185622908501,61,249,3237,1490509.0,531,0.0979284369114877,0.2971887550200803,249,1.95,53.07,37,Cambridge University Press
Chemosphere,1.321,329,2.06478511866581,1.3288168256148,617,1662,18511,9506470.0,3661,0.0961485932805244,0.2635379061371841,1650,2.0,30.0,54,Elsevier Ltd
Earthquake Engineering and Structural Dynamics,1.319,165,0.844594594594595,1.47834357347772,122,296,2452,1767304.0,330,0.2575757575757575,0.4560810810810811,296,1.09,20.1,54,John Wiley and Sons Ltd
ACM Transactions on Computational Logic,1.318,54,1.93877551020408,2.35849931954162,21,51,595,205022.0,110,0.0272727272727272,0.3137254901960784,51,1.92,28.33,26,Association for Computing Machinery (ACM)
Energy Journal,1.318,97,0.968253968253968,1.75332065893426,20,64,541,429374.0,83,0.1204819277108433,0.4375,63,1.22,27.05,31,SAGE Publications Ltd
Journal of Plankton Research,1.318,110,1.74931880108992,1.2822432414403,128,370,5358,2251312.0,675,0.0918518518518518,0.2837837837837837,370,1.64,41.86,47,Oxford University Press
Human Pathology,1.317,159,3.29966887417219,1.4827896627869,228,685,5703,4074039.0,2360,0.0453389830508474,0.2218978102189781,630,3.57,25.01,56,W.B. Saunders
Genome,1.316,111,2.07424593967517,1.17424857966854,129,439,4641,2534429.0,949,0.101159114857745,0.3006833712984054,436,1.96,35.98,39,National Research Council of Canada
Audiology and Neurotology,1.315,92,2.70175438596491,1.1296069461971,31,122,1262,631168.0,347,0.0461095100864553,0.3032786885245901,117,2.02,40.71,29,S. Karger AG
Molecular Cancer Therapeutics,1.315,206,2.81118881118881,0.815634319778415,153,152,6386,984471.0,539,0.0612244897959183,0.1907894736842105,150,3.55,41.74,25,American Association for Cancer Research Inc.
Progress in Cardiovascular Diseases,1.315,128,2.3030303030303,1.03994051116955,35,103,3566,596054.0,279,0.003584229390681,0.2621359223300971,102,2.76,101.89,68,W.B. Saunders
Advances in Water Resources,1.314,170,1.66666666666667,1.52700916910021,98,206,3212,1240358.0,390,0.123076923076923,0.2718446601941747,204,1.87,32.78,49,Elsevier Ltd
Journal of Turbomachinery,1.314,134,0.819230769230769,1.29510999852905,90,274,1797,1622116.0,528,0.1420454545454545,0.3430656934306569,260,1.76,19.97,40,The American Society of Mechanical Engineers(ASME)
Menopause,1.314,125,3.85889570552147,1.40257978388338,102,209,2154,1240862.0,771,0.046692607003891,0.2727272727272727,166,3.07,21.12,32,Wolters Kluwer Health
Diseases of the Colon and Rectum,1.313,185,2.84625158831004,1.62893438272924,321,1014,6865,5709910.0,2734,0.1060716898317483,0.3550295857988165,879,2.57,21.39,68,Lippincott Williams and Wilkins
International Journal of Fatigue,1.313,163,1.11813186813187,1.68490386262541,136,367,2966,2198929.0,568,0.176056338028169,0.3569482288828338,365,1.46,21.81,47,Elsevier Ltd
Journal of Algorithms,1.313,75,0.950276243093923,1.48740697279807,51,182,1174,959926.0,199,0.0753768844221105,0.5,181,1.03,23.02,30,Academic Press Inc.
Journal of Biomechanics,1.313,233,2.17791411042945,1.78406170243845,219,712,6340,3848571.0,1651,0.1144760751059963,0.3384831460674157,683,1.89,28.95,58,Elsevier Ltd
