Title,SJR,H index,IPP,SNIP,Total Docs. (2013),Total Docs. (3years),Total Refs.,Est. value (USD) (2013),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Immunological Reviews,8.875,262,12.0447284345048,3.01096760656531,114,327,15212,2808948.0,4546,0.0118785745710514,0.0214067278287461,313,14.15,133.44,57,Wiley-Blackwell Publishing Ltd
Science Translational Medicine,8.873,303,13.6941391941392,3.21781671107897,479,1360,11021,8583022.0,9642,0.0151420867040033,0.5264705882352941,624,7.61,23.01,17,American Association for the Advancement of Science
Endocrine Reviews,8.842,317,19.6049382716049,6.44591725954231,28,87,8199,735898.0,1841,0.0081477457903313,0.0689655172413793,85,18.93,292.82,46,The Endocrine Society
Journal of the American Mathematical Society,8.747,116,3.71844660194175,4.06203379496276,35,104,1226,830288.0,422,0.0071090047393364,0.1923076923076923,104,3.58,35.03,38,American Mathematical Society
Nature Chemistry,8.691,308,15.65965583174,3.67428276739475,225,705,6717,4539458.0,9484,0.0123365668494306,0.2170212765957447,607,13.06,29.85,17,Nature Publishing Group
Psychological Bulletin,8.686,379,16.05,8.30032965991892,63,165,10419,1365988.0,2814,0.0145700071073205,0.0606060606060606,139,12.53,165.38,122,American Psychological Association
Journal of Economic Perspectives,8.649,239,5.70769230769231,5.47256629300555,50,144,2394,1166891.0,1040,0.010576923076923,0.1388888888888889,141,6.36,47.88,33,American Economic Association
Annual Review of Economics,8.625,84,3.15068493150685,2.56357974628212,18,74,1633,300653.0,276,0.0181159420289855,0.1756756756756756,73,3.33,90.72,15,Annual Reviews Inc.
Genome Biology,8.598,319,10.966265060241,2.43830092209869,232,623,11702,5067754.0,6002,0.0198267244251916,0.1990369181380417,531,8.42,50.44,26,BioMed Central Ltd
Strategic Management Journal,8.59,351,5.58078602620087,3.59315874071252,91,229,6626,1849249.0,1534,0.074315514993481,0.0524017467248908,229,4.77,72.81,46,John Wiley and Sons Ltd
Current Opinion in Cell Biology,8.54,284,9.78730158730159,2.23666146030922,108,336,6404,2936919.0,3529,0.0076508926041371,0.0625,315,8.94,59.3,37,Elsevier Ltd
Surface Science Reports,8.526,131,18.9615384615385,7.80136339351824,9,26,2938,236003.0,560,0.0017857142857142,0.0,26,26.44,326.44,45,Elsevier B.V.
JAMA Psychiatry,8.409,417,14.7731958762887,5.02790414692374,183,439,7534,3758664.0,6750,0.0179259259259259,0.1252847380410023,402,13.97,41.17,13,American Medical Association
Journal of Clinical Oncology,8.389,646,14.1336322869955,4.67784685748334,995,3437,25833,28048507.0,38964,0.0323118776306334,0.2598196101251091,2293,10.39,25.96,43,Lippincott Williams and Wilkins
Progress in Energy and Combustion Science,8.259,243,21.5866666666667,12.6792322061659,19,75,3613,544124.0,2028,0.0078895463510848,0.0,75,23.8,190.16,51,Elsevier B.V.
PLoS Biology,8.223,316,10.1520737327189,2.6420657027978,288,776,12886,6477371.0,7516,0.0091804151144225,0.1932989690721649,741,8.81,44.74,23,Public Library of Science
Circulation,8.188,691,12.7603664416586,4.77186757578943,907,3076,30693,24046293.0,33093,0.0328166077418185,0.2958387516254877,2158,10.01,33.84,76,Lippincott Williams and Wilkins
Journal of the European Economic Association,8.16,125,3.39735099337748,3.24452564742739,60,158,2360,1283889.0,597,0.0318257956448911,0.2025316455696202,151,4.09,39.33,23,Wiley-Blackwell
